Pays ;2010 (total);2010 (Femmes);2010 (Hommes);2014 (total);2014 (Femmes);2014 (Hommes);2016 (total);2016 (Femmes);2016 (Hommes)
AUT;17,6;16,4;18,8;19,2;17,7;20,8;19,2;18,3;21,9
BEL;20,1;19,7;20,4;21,4;20,5;22,2;22,1;21;23,1
BGR;22,4;22,5;22,1;24,1;23,7;24,4;25;24,3;25,5
CYP;19,8;20,2;19,2;21,1;21,1;20,9;21,8;21,6;21,9
CZE;23,9;24;23,6;25,2;25;25,4;26;25,4;26,4
DEU;19,9;18,6;21,1;21,5;19,8;23,1;22,3;20,4;24,2
DNK;17,4;15,5;19,3;18,9;16,5;21,3;19,7;17;22,3
ESP;21,7;21,4;21,7;23,1;22,3;23,6;23,8;22,8;24,6
EST;19,6;20,8;17,9;20,7;21,4;19,5;21,2;21,8;20,3
FIN;20;18,9;20,9;21,4;20;22,7;22,2;20,6;23,7
FRA;19,3;19,5;19,2;20,8;20,5;21;21,6;21,1;22
GBR;24,2;25,4;23;26,6;27,6;25,5;27,8;28,6;26,9
GRC;22,4;23,7;20,9;24;24,9;23;24,9;25,4;24,2
HRV;21,6;22,2;20,6;23,4;23,7;22,9;24,4;24,5;24,1
HUN;23,5;22,5;24,4;25,4;23,9;26,9;26,4;24,6;28,2
IRL;21,6;22;21,2;24;24,3;23,7;25,3;25,5;25,1
ISL;19,6;18,1;21,1;21,1;18,9;23,1;21,9;19,4;24,2
ITA;18,1;18,2;17,8;19,3;19,1;19,3;19,9;19,5;20,1
LTU;24,4;26,6;21,4;25,6;27,4;23,2;26,3;27,8;24,2
LUX;20;18,9;21,1;21,7;20,1;23,3;22,6;20,7;24,5
LVA;21,8;24,1;18,9;23;24,8;20,7;23,6;25,1;21,6
MLT;26,8;27,3;26,2;28,2;28,1;28,1;28,9;28,5;29,2
NLD;17,7;17,9;17,4;19,5;19,3;19,7;20,4;20;20,8
NOR;20,4;20,4;20,2;22,2;21,8;22,4;23,1;22,5;23,6
POL;20,8;20,7;20,6;22,3;21,7;22,6;23,1;22,2;23,7
PRT;18,1;19;17;19,9;20,5;19,2;20,8;21,2;20,3
ROU;19,8;19,7;19,8;21,6;20,9;22,1;22,5;21,6;23,4
SVK;18,4;18,4;18,3;19,8;19,4;20;20,5;19,9;21
SVN;18,1;19,3;16,8;19,5;20,4;18,5;20,2;21;19,4
SWE;18,2;16,4;19,9;19,8;17,5;22;20,6;18,1;23,1
TUR;28,2;35,4;20,2;30,8;37,9;22,9;32,1;39,2;24,4
